Input,Real_Phonemes,Reference,Prediction,WER,PER
K EY ZH AH N AH L IY | DH IY Z | TH IH NG Z | M AY | N AA T | B IY | T R UW |,AO K EY ZH AH N AH L IY | DH IY Z | TH IH NG Z | M EY | N AA T | B IY | T R UW |,"Occasionally, these things may not be true.","Casually, these things may not be true.",0.1428571429,0.06060606061
S AH N S | TH R AE T S | AA R | AH | M AY AH L IH SH IH NG | AH V | DH AH | Y UW N | JH AA R D ER |,S AH CH | TH R EH T S | AA R | AH | V AY AH L EY SH AH N | AH V | DH AH | AH N | CH AA R T ER |,Such threats are a violation of the UN Charter.,Since that's a multiplication of the unit yard.,0.6666666667,0.2820512821
DH AE T | W AH N | B IY | G UH D |,DH AE T | W UH D | B IY | G UH D |,That would be good.,That one be good.,0.25,0.1333333333
AA R | Y UW | AH | K AH M P Y UW T ER | AE K ER |,AA R | Y UW | AH | K AH M P Y UW T ER | HH AE K ER |,Are you a computer hacker?,Are you a computer geek?,0.2,0.04545454545
HH IY | D AO K | K EH R | AH V | IH T |,HH IY | T UH K | K EH R | AH V | IH T |,He took care of it.,He does care of it.,0.2,0.1176470588
DH AE T | IH Z | T R IH NG Z | T UW | M IY |,DH AE T | IH Z | S T R EY N JH | T UW | M IY |,That is strange to me.,That is true to me.,0.2,0.2
IH T | IH Z | L AY K | W IH N Y ER | DH AH | L IH G Y AH L IY |,IH T | IH Z | L AY K | W IH N IH NG | DH AH | L AA T ER IY |,It is like winning the lottery.,It is like winning the lottery.,0,0.28
W EH N | Y UW | S T AA B | T UW | TH IH NG K | AH V | IH T |,W EH N | Y UW | S T AA P | T UW | TH IH NG K | AH V | IH T |,When you stop to think of it.,When you stop to think of it.,0,0.03846153846
W ER S | IH Z | DH AH | IH M P AH K EY SH AH N | AH V | P L EY B M |,W ER S | IH Z | DH AH | IH M P L AH K EY SH AH N | AH V | B L EY M |,Worse is the implication of blame.,What is the impact of play?,0.5,0.1034482759
DH IH S | W IH L | F AO L | D AW N | S UW N |,DH IH S | W IH L | F AO L | D AW N | S UW N |,This will fall down soon.,This will fall down soon.,0,0
DH AH | EH R | IH Z | K L IH R | AE T | N AY T |,DH AH | EH R | IH Z | K L IH R | AE T | N AY T |,The air is clear at night.,The air is clear at night.,0,0
DH AH | TH IH NG | DH AE T | SH UH D | B IY |,DH AH | TH IH NG | DH AE T | SH UH D | B IY |,The thing that should be.,The thing that should be.,0,0
Y UW | N AW | W AH T | AY | F UH D | L AH V |,Y UW | N OW | W AH T | AY | W UH D | L AH V |,You know what I would love.,You know what I would love?,0,0.1
DH EH R | M AH DH ER | W AA Z | S IH K | AE T | T AY M Z |,DH EH R | M AH DH ER | W AA Z | S IH K | AE T | T AY M Z |,Their mother was sick at times.,Their mother was sick at times.,0,0
AY M | N AA T | B IH D IH NG | EH N IY | ER S EH L V Z |,AY M | N AA T | B IH L D IH NG | EH N IY | R IH Z ER V Z |,I'm not building any reserves.,I'm not buying any myself.,0.4,0.2
Y UW | S T IH L | N IY D | Y AO R | M AH DH ER Z | P IH ER F EH S AH N |,Y UW | S T IH L | N IY D | Y AO R | M AH DH ER Z | P ER M IH SH AH N |,You still need your mother's permission.,You still need your mother's permission.,0,0.1333333333
AH N D | N AA T | IH Z | DH AH | M AH S | M AY G | T UW | OY D | TH R UW |,AH N D | DH AE T | IH Z | DH AH | B EH S T | B UH K | T UW | G OW | TH R UW |,And that is the best book to go through.,And not is the most I can do through.,0.5555555556,0.303030303
DH EH R | W AA Z | N OW | W ER D | AA R D | K AA S W AH L IH K S |,DH EH R | W AA Z | N OW | W ER D | AA N | K AE ZH AH W AH L T IY Z |,There was no word on casualties.,There was no word on casualties.,0,0.275862069
W AH T S | D IH F ER AH N T | AH B AW T | DH IH S |,W AH T S | D IH F ER AH N T | AH B AW T | DH IH S |,What's different about this?,What's different about this?,0,0
P AH B L IH K | R IY R EY SH AH N S |,P AH B L IH K | R IY L EY SH AH N Z |,Public relations.,Public relations.,0,0.125
B IY | D AY S | T UW | IY CH | AH DH ER |,B IY | N AY S | T UW | IY CH | AH DH ER |,Be nice to each other.,Be nice to each other.,0,0.05882352941
IH T S | HH AA R D | F AO R | F IY | T UW | AH N EH N T |,IH T S | HH AA R D | F AO R | M IY | T UW | AH D M IH T |,It's hard for me to admit.,It's hard for me to understand.,0.1666666667,0.16
S P IH SH AH L | T UW | DH AH | D IH S T R OY T | F R IY | B R EH SH |,S P EH SH AH L | T UW | DH AH | D IH T R OY T | F R IY | P R EH S |,Special to the Detroit Free Press.,Special to the Destroyer Free Press.,0.1666666667,0.1379310345
AY | G EH S | DH AE T S | AH B AW T | IH T |,AY | G EH S | DH AE T S | AH B AW T | IH T |,I guess that's about it.,I guess that's about it.,0,0
AH | AH | L IH B ER AH L | AA R T S | S K UW L |,AH | L IH B ER AH L | AA R T S | S K UW L |,A liberal arts school.,A liberal arts school.,0,0.1052631579
DH IH S | IH Z | G UH D | IH N Z AH N T | IH T |,DH IH S | IH Z | G UH D | IH Z AH N T | IH T |,"This is good, isn't it?",This is good isn't it?,0,0.05
B IH HH AO N S | N AA T | IH N | D L ER AH N Z |,P ER HH AE P S | N AA T | IH N | D AE L AH S |,Perhaps not in Dallas.,"Be honest, not in dollars.",0.75,0.4
W AA Z | DH IH S | IH Z | IH N T AY R | F AE M AH L IY |,W AA Z | DH IH S | HH IH Z | IH N T AY ER | F AE M AH L IY |,Was this his entire family?,Was this in your family?,0.4,0.08
DH EY | W IH L | N AA T | G EH T | EH V R IY TH IH NG | D AH N | EH N IY W EY |,DH EY | W IH L | N AA T | G EH T | EH V R IY TH IH NG | D AH N | EH N IY W EY |,They will not get everything done anyway.,They will not get everything done anyway.,0,0
HH AW | IH Z | Y UW | | B OY S | AH N D | DH EH R | M UW | T AA M |,HH AW | IH Z | Y AO R | B AA S | AE T | Y AO R | N UW | JH AA B |,How is your boss at your new job?,How is you and your mom doing today?,0.75,0.3928571429
M AY | S AH DH ER | IH Z | DH AH | M EY N | IH N DH AH | T AA R D ER AY | CH AE G K AH D |,M AY | F AA DH ER | IH Z | DH AH | M AE N | IH N | DH AH | K AO R D ER OY | JH AE K AH T |,My father is the man in the corduroy jacket.,"My sister is the main one in the order, charged.",0.5555555556,0.2702702703
HH IY Z | JH AH S T | G UH F IH NG | AO F | L AY K | HH IY | AO L W EY Z | HH AE Z |,HH IY Z | JH AH S T | G UW F IH NG | AO F | L AY K | HH IY | AO L W EY Z | HH AE Z |,He's just goofing off like he always has.,He's just going off like he always has.,0.125,0.02857142857
T EH L AH V IH ZH AH N | S ER V AH S | IH Z | AO F AH L | HH IY R |,T EH L AH V IH ZH AH N | S ER V AH S | IH Z | AO F AH L | HH IY R |,Television service is awful here.,Television service is awful here.,0,0
D AH T | D AH S T | W IH DH | DH AH | V IH ZH IH D | T UW | B EH S K AH |,N AA T | JH AH S T | W IH DH | DH AH | V IH Z IH T | T UW | P IH T S B ER G |,Not just with the visit to Pittsburgh.,But dust with the visitors to be sure.,0.7142857143,0.3333333333
AY | HH AE D | F AW N D | AH N | IH K S T R IY | P OY N T |,AY | HH AE D | F AW N D | AE N | EH N T R IY | P OY N T |,I had found an entry point.,I had found an extra point.,0.1666666667,0.16
L AY N D | T UH K T | T ER N | D IH P EH N D Z | AH K R AO Z | W IY K EH N D |,L AY N | T AO K T | T ER N | D IH P EH N D Z | AH K R AO S | W IY K EH N D |,line talked turn depends across weekend.,Lined up to turn depends across weekend.,0.5,0.08823529412
DH EH R | W AA Z | W AH N | P OY N T | AY | W AA Z | G OW IH NG | T UW | M EY K |,DH EH R | W AA Z | W AH N | P OY N T | AY | W AA Z | G OW IH NG | T UW | M EY K |,There was one point I was going to make.,There was one point I was going to make.,0,0
AY | T UH K | K EH R | AH V | DH AH | CH IH L D R AH N |,AY | T UH K | K EH R | AH V | DH AH | CH IH L D R AH N |,I took care of the children.,I took care of the children.,0,0
M AY | W AY F | AH N D | D AO T ER | W ER | K IH N D AA P T |,M AY | W AY F | AH N D | D AO T ER | W ER | K IH D N AE P T |,My wife and daughter were kidnapped.,My wife and daughter were kind of.,0.3333333333,0.1111111111
W IY | AO R | W AY T | S IH T L IY | AE T | AH | T AA P IY | P OY N T |,W IY | AA R | K W AY T | S IH M P L IY | AE T | AH | T IH P IH NG | P OY N T |,"We are, quite simply, at a tipping point.",We are right at a top point.,0.375,0.2058823529
W IY | W IY N | N IY D | T UW | W ER K | M AO R N | DH AH | S OW SH AH | P AA R T |,W IY | N IY D | T UW | W ER K | M AO R | AA N | DH AH | S OW SH AH L | P AA R T |,We need to work more on the social part.,We will need to work more on the social part.,0.1111111111,0.2
IH T | K EY M | AW T | AY | G EH S | AH B AW T | AH | M AH N TH |,IH T | K EY M | AW T | AY | G EH S | AH B AW T | AH | M AH N TH |,It came out I guess about a month.,It came out I guess about a month.,0,0
D UW | N AA T | S EH L | Y UW | F R EY | T AY M | AO R | Y AO R | S P EY S | AH V | M AY N D |,D UW | N AA T | S EH L | Y AO R | F R IY | T AY M | AO R | Y AO R | P IY S | AH V | M AY N D |,Do not sell your free time or your peace of mind.,Do not sell you for time or your space of mind.,0.2727272727,0.119047619
DH AE T S | R IH T IY | M AH CH | DH AH | TH AW TH | HH EH N D | AH V | DH AH | S T EY T |,DH AE T S | P R IH T IY | M AH CH | DH AH | S AW TH | EH N D | AH V | DH AH | S T EY T |,That's pretty much the south end of the state.,That's really much of the whole state.,0.5555555556,0.08108108108
AY | D OW N T | R IH L IY | F AA L OW | DH AH | EH N D IY AH | V AY R IH NG | K L IH S T L IY |,AY | D OW N T | R IH L IY | F AA L OW | DH AH | EH N B IY EY | V EH R IY | K L OW S L IY |,I don't really follow the NBA very closely.,I don't really follow the ending very clearly.,0.25,0.1842105263
HH AW EH V ER | DH EH R | IH Z | W AH N | K IY | P OY N T | T UW | K IY P | IH N | M AY N D |,HH AW EH V ER | DH EH R | IH Z | W AH N | K IY | P OY N T | T UW | K IY P | IH N | M AY N D |,"However, there is one key point to keep in mind.","However, there is one key point to keep in mind.",0,0
DH AE T S | W AH T | DH AH | D IH F ER AH N T | T AY P S | AA R |,DH AE T S | W AH T | DH AH | D IH F ER AH N T | T AY P S | AA R |,That's what the different types are.,That's what the different types are.,0,0
HH IH V | Y UW | HH AE V AH N T | K L ER N | D AW N |,IH F | Y UW | HH AE V AH N T | S L OW D | D AW N |,If you haven't slowed down.,Have you haven't cleaned down?,0.4,0.2272727273
AY | D OW N T | N OW | W EH DH ER | Y UW | D IH D | Y UH R Z | F AA R T |,AY | D OW N T | N OW | W EH DH ER | Y UW | D IH D | Y UH R Z | F ER S T |,I don't know whether you did yours first.,I don't know whether you did yours or not.,0.25,0.0625
D IH M ER R AA T AH T L IY | D IH D UW S IH Z | K AA R B AH D | K R AE N D | B AE N T |,D EH M AH K R AE T IH K L IY | R IH D UW S IH Z | K AA R B AH N | K R AE M P T | B EY K T |,democratically reduces carbon cramped baked,Differentially designed cardboard canes.,1,0.325
AA R | DH EY | B OW TH | S T IH L | ER AW N D |,AA R | DH EY | B OW TH | S T IH L | ER AW N D |,Are they both still around?,Are they both still around?,0,0
W P AO R T S | M IY S Z | K AH M P AH N IY Z | AA R T | T EH L AH V IH SH AH IY |,S P AO R T S | M IH S | K AH M P AH N IY Z | AA R AH N T | T EH L AH V IH ZH AH N |,sports miss companies aren't television.,Sports teams and companies are television.,0.6,0.1944444444
DH IH S | D AH Z | N AA T | AH P IY L | T UW | M IY | AE T | AO L |,DH IH S | D AH Z | N AA T | AH P IY L | T UW | M IY | AE T | AO L |,This does not appeal to me at all.,This does not appeal to me at all.,0,0
AY | TH IH NG K | DH AE T | K UH D | W ER K | AE Z | AH | T OY |,AY | TH IH NG K | DH AE T | K UH D | W ER K | AE Z | AH | T OY |,I think that could work as a toy.,I think that could work as a toy.,0,0
DH AH | K AH P AH L | K AA T | M EH R IY D | L AE S T | W IY K |,DH AH | K AH P AH L | G AA T | M EH R IY D | L AE S T | W IY K |,The couple got married last week.,The couple got married last week.,0,0.03571428571
SH IY | W AA Z | AO L W AY Z | AH | L IH T AH L | B IH T | L IH R IY | AH V | HH ER |,SH IY | W AA Z | AO L W EY Z | AH | L IH T AH L | B IH T | L IH R IY | AH V | HH ER |,She was always a little bit leery of her.,She was always a little bit leery of her.,0,0.02777777778
W AH T | W IH L | B IY | AH | L AH G ZH ER IY | IH N | DH AH | F Y UW CH ER |,W AH T | W IH L | B IY | AH | L AH G ZH ER IY | IH N | DH AH | F Y UW CH ER |,What will be a luxury in the future?,What will be a luxury in the future?,0,0
B L Z AH S | N AW | HH AE V | AH | N UW | V IH ZH AH W AH L | AH F EH K T |,B L IH Z ER D Z | N AW | HH AE V | AH | N UW | V IH ZH AH W AH L | IH F EH K T |,Blizzards now have a new visual effect.,Bliss now have a new visual effect.,0.1428571429,0.1470588235
M AY S W AY L | TH IH NG Z | AH | S AE M AH L ER | AA R G Y UW M AH N | SH UH D | B IY | M EH N | F AO R | S UW S | HH IH N JH AH N JH |,P AA S K W AA L EY | TH IH NG K S | AH | S IH M AH L ER | AA R G Y AH M AH N T | SH UH D | B IY | M EY D | F AO R | S ER CH | EH N JH AH N Z |,Pasquale thinks a similar argument should be made for search engines.,My wife thinks a similar argument should be men for such injury.,0.4545454545,0.2833333333
W IY | HH OW P | Y UW | EH N JH OY D | Y AO R | S T EY |,W IY | HH OW P | Y UW | EH N JH OY | Y AO R | S T EY |,We hope you enjoy your stay!,We hope you enjoyed your stay!,0.1666666667,0.04347826087
Y UW | D OW N T | HH AE V | T UW | B IY | HH AE N | AH S B AH N D | T UW | P L EY | DH IH S | G EY M |,Y UW | D OW N T | HH AE V | T UW | B IY | AE N | EH K S P ER T | T UW | P L EY | DH IH S | G EY M |,You don't have to be an expert to play this game.,You don't have to be an adult to play this game.,0.09090909091,0.1627906977
AH N D | AY | TH IH NG K | HH IH Z | AE Z | S IH T IY | HH AE Z | DH AH | D AH F ER L |,AH N D | AY | TH IH NG K | HH IY Z | AE Z | G IH L T IY | AE Z | DH AH | D EH V AH L |,And I think he's as guilty as the devil.,And I think his as city has the duffle.,0.4444444444,0.1944444444
AH | S AO | IH Z | AH | K UW L | N Y UW Z D | F AO R | M EY K IH NG | B OY R T Z |,AH | S AO | IH Z | AH | T UW L | Y UW Z D | F AO R | M EY K IH NG | B AO R D Z |,A saw is a tool used for making boards.,A saw is a cool new tool for making boards.,0.3333333333,0.1142857143
P EH R AH N T S | AH V | S M AO L | S CH IH L D R AH D | K EH R | AH B AW T | DH IH S |,P EH R AH N T S | AH V | S M AO L | CH IH L D R AH N | K EH R | AH B AW T | DH IH S |,Parents of small children care about this.,Parents of small children care about this.,0,0.05405405405
W AH T | S AH M | AH V | DH IY Z | P IY P AH L | W EH T | TH R UW | IH Z | D AY N AH |,W AH T | S AH M | AH V | DH IY Z | P IY P AH L | W EH N T | TH R UW | IH Z | T EH R AH B AH L |,What some of these people went through is terrible.,What some of these people went through is amazing.,0.1111111111,0.1707317073
DH AH | T UW D | R UW Z | F R AH M | DH AH | EH S T | AH V | DH AH | W AO T ER |,DH AH | D UW N | R OW Z | F R AH M | DH AH | EH JH | AH V | DH AH | W AO T ER |,The dune rose from the edge of the water.,The two rose from the east of the water.,0.2222222222,0.1515151515
AY | HH AE V | M EH N IY | AH | T AY M | K AO OW L D | HH IH M | T UW | K AH M | G EH T | M IY |,AY | HH AE V | M EH N IY | AH | T AY M | K AO L D | HH IH M | T UW | K AH M | G EH T | M IY |,I have many a time called him to come get me.,I have many a time called him to come get me.,0,0.025
EH N IY AH DH ER L | AH N | R IH L IH JH S | B R IY S | AA N | N EY N | AH N D | B L AA ZH ER |,EH TH IH K AH L | AH N D | R IH L IH JH AH S | V Y UW Z | AA N | N IY D | AH N D | P L EH ZH ER |,Ethical and religious views on need and pleasure.,Any other and release breath on pain and blisters.,0.75,0.3658536585
IH F | Y UW | B W IH NG | DH AH M | M AO R | S T AH L F |,IH F | Y UW | B R IH NG | S AH M | M AO R | S T AH F |,If you bring some more stuff.,If you bring the more stuff.,0.1666666667,0.125
AY | D IH D | N AA T | OW N | M AY | D IH G R IY | AH N T IH | L AW T ER | AA N | IH N | M AY | L AY F |,AY | D IH D | N AA T | ER N | M AY | D IH G R IY | AH N T IH L | L EY T ER | AA N | IH N | M AY | L AY F |,I did not earn my degree until later on in my life.,I did not own my degree until later on in my life.,0.08333333333,0.0652173913
AY | L AY K | T UW | EH N JH OY | M AY | L AY F | IH N | DH AH | K AE N T R IY |,AY | L AY K | T UW | EH N JH OY | M AY | L AY F | IH N | DH AH | K AH N T R IY |,I like to enjoy my life in the country.,I like to enjoy my life in the country.,0,0.02941176471
SH IY | W AA Z | DH AH | D IH V IH ZH AH N | HH EH D | IH N | DH AH | K AA L ER JH |,SH IY | W AA Z | DH AH | D IH V IH ZH AH N | HH EH D | IH N | DH AH | K AA L IH JH |,She was the division head in the college.,She was the division head in the college.,0,0.02941176471
AY | M IH K S | DH AH | IH D EH N EH N SH AH L | CH IH M Y AH SH AH N | AH V | T EY K IH NG | K L AE S AH Z | IH N | G AA L ER JH |,AY | M IH S | DH AH | IH N T AH L EH K CH UW AH L | S T IH M Y AH L EY SH AH N | AH V | T EY K IH NG | K L AE S AH Z | IH N | K AA L IH JH |,I miss the intellectual stimulation of taking classes in college.,I mix the initial sensation of taking classes in gallery.,0.4,0.2413793103
G AE K S L IY | G R UW | AH P | AA N | AH | F AE M AH L IY | F AA V | W EH R | HH IY | S T IH L | W ER K S |,G R AE S L IY | G R UW | AH P | AA N | AH | F AE M AH L IY | F AA R M | W EH R | HH IY | S T IH L | W ER K S |,"Grassley grew up on a family farm, where he still works.",Gallily grew up on a family farm where he still works.,0.09090909091,0.08333333333
B AH T | D UW | Y UW | TH IH NG K | P IY L | K IY S | SH UH | R IH S AY D |,B AH T | D UW | Y UW | TH IH NG K | B IH L | G EY T S | SH UH D | R IH Z AY N |,But do you think Bill Gates should resign?,But do you think people keep shoes to resell?,0.625,0.2352941176
AY | T R AY N D | AH | L AA T | B AH T | DH IH S | IH Z | S T IH L | R AO NG |,AY | T R AY D | AH | L AA T | B AH T | DH IH S | IH Z | S T IH L | R AO NG |,"I tried a lot, but this is still wrong.","I tried a lot, but this is still wrong.",0,0.0303030303
W EH R | IH Z | DH AE T | AO F AH L | N OY S Z | K AY M IH NG | IH T |,W EH R | IH Z | DH AE T | AO F AH L | N OY Z | K AH M IH NG | F R AH M |,Where is that awful noise coming from?,Where is that awful noise coming from?,0,0.1935483871
Y UW | AE K CH UW AH L IY | L UH K | F ER W ER D | T UW | F AE N K S AH Z | AO R | R IH OW N D Z | R EH T IH NG | Y AO R | K AA R B JH ER JH |,Y UW | AE K CH UW AH L IY | L UH K | F AO R W ER D | T UW | F AA K S AH Z | AO R | R AE K UW N Z | R EY D IH NG | Y AO R | G AA R B IH JH |,You actually look forward to foxes or raccoons raiding your garbage.,You actually look forward to faxes or phone calls regarding your car repair.,0.5454545455,0.2203389831
